URL,Name,Address,Capital,Sales,Market,President
https://baseconnect.in/companies/98697a1c-5157-4c53-a168-f1f64fe872ca,アルフレッサ株式会社,〒101-0047東京都千代田区内神田１丁目１２番１号,40億円,1000億円以上,未上場,情報あり
https://baseconnect.in/companies/ranking,業界別の売上高ランキングを見る,,,,,
https://baseconnect.in/companies/8b93e220-fc75-42c9-9180-c1809e784290,日本電信電話株式会社,〒100-0004東京都千代田区大手町１丁目５番１号,9380億円,1000億円以上,東証プライム,情報あり
https://baseconnect.in/companies/77a4d87d-8b54-47a2-8463-13c04f124426,株式会社アイルネット,〒107-0062東京都港区南青山１丁目１番１号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/64e98208-0f63-479e-b8fd-7ecbfa4215fa,株式会社東京システムリサーチ,〒135-0061東京都江東区豊洲５丁目４番９号,8000万円,,未上場,情報あり
https://baseconnect.in/companies/089e8b95-16b1-4830-9994-495748d15197,株式会社ＢＥＸ,〒471-0025愛知県豊田市西町５丁目５番地,3500万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/fe2dd241-5521-4066-8dad-028eb4346685,株式会社トヨタマップマスター,〒453-0872愛知県名古屋市中村区平池町４丁目６０番地の１２,4億8000万円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/b3e67c44-3d19-4269-bde8-6efb0138145d,パナソニックコネクト株式会社,〒812-0017福岡県福岡市博多区美野島４丁目１番６２号,2593億円,1000億円以上,未上場,情報あり
https://baseconnect.in/companies/02776744-24b8-4619-805a-1ab0a28aa123,株式会社コネクター・ジャパン,〒105-0004東京都港区新橋５丁目１４－１０新橋スクエアビル９Ｆ,,,未上場,情報あり
https://baseconnect.in/companies/21ef7790-8500-4e4a-b6eb-42d901a9a5d1,ｄＳＰＡＣＥ　Ｊａｐａｎ株式会社,〒140-0001東京都品川区北品川４丁目７番３５号御殿山トラストタワー１０階,2500万円,,未上場,情報あり
https://baseconnect.in/companies/ae553f24-ee88-45f9-bd44-2dede994c3a3,株式会社スタイラジー,〒160-0023東京都新宿区西新宿６丁目５番１号,2710万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/36100653-3aeb-4211-acbe-708775524fa2,東日本電信電話株式会社,〒160-0023東京都新宿区西新宿３丁目１９番２号,3350億円,1000億円以上,未上場,情報あり
https://baseconnect.in/companies/category,業界ごとに会社を探す,,,,,
https://baseconnect.in/companies/a7e62875-0dd7-4f7b-9495-617f971a8055,株式会社システック井上,〒850-0046長崎県長崎市幸町４番２０号エスケービル３階,2000万円,,未上場,情報あり
https://baseconnect.in/companies/c0244aca-d3e0-4a6d-8303-142843aafda5,株式会社三恭,〒167-0052東京都杉並区南荻窪４丁目３９番１１号,,,未上場,情報あり
https://baseconnect.in/companies/0f35f7c7-21dc-456d-9c4d-a2306a19bd1c,日本電気株式会社,〒108-0014東京都港区芝５丁目７番１号,4278億円,1000億円以上,東証プライム,情報あり
https://baseconnect.in/companies/9cd72681-5b3a-4af8-9426-179a6bf07059,ＬＲ株式会社,〒899-2504鹿児島県日置市伊集院町郡１３４３番地１,,,未上場,
https://baseconnect.in/companies/2bcf84a4-488f-4bf4-80d7-1c287fcef696,株式会社プロテラス,〒107-0052東京都港区赤坂４丁目１３番１３号,,,未上場,情報あり
https://baseconnect.in/companies/e2a495cb-4657-445f-aef6-1271de313643,株式会社ソフトウエア・サイエンス,〒171-0022東京都豊島区南池袋２丁目３２番８号,9000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/e55108c0-a06e-4f31-b440-d38096b45119,株式会社アクティブ・ワーク,〒101-0032東京都千代田区岩本町３丁目４番６号,9400万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/0cbc0a13-a782-43c7-a3b2-2ec95710d2ab,東邦薬品株式会社,〒155-0032東京都世田谷区代沢４丁目４３番１１号,3億円,1000億円以上,未上場,情報あり
https://baseconnect.in/companies/b17a4276-8a9b-4c5e-9307-42178cbd084f,株式会社エアトリ,〒105-0002東京都港区愛宕２丁目５番１号,17億8326万5840円,50億〜300億円,東証プライム,情報あり
https://baseconnect.in/companies/6e3db55b-fecd-449e-898f-3b7d16d76687,株式会社セイファート,〒150-0002東京都渋谷区渋谷３丁目２７番１１号,2億6600万円,10億〜50億円,東証スタンダード,情報あり
https://baseconnect.in/companies/254f0bab-c3d0-48f2-a4c5-05f404d7be6f,ＩＩＭヒューマン・ソリューション株式会社,〒100-0011東京都千代田区内幸町１丁目２番１号,5000万円,,未上場,情報あり
https://baseconnect.in/companies/f589c0d6-f2db-4a8c-b571-75c8c51a82de,株式会社ＧＲＣＳ,〒100-0005東京都千代田区丸の内１丁目１番１号パレスビル５階,3億6300万円,10億〜50億円,東証グロース,情報あり
https://baseconnect.in/companies/4c517fa8-5d50-40d0-87c3-dc4d239901d2,住友電気工業株式会社,〒541-0041大阪府大阪市中央区北浜４丁目５番３３号,997億3700万円,1000億円以上,東証プライム,情報あり
https://baseconnect.in/companies/66218d3a-5cce-4a6c-a3e4-db250cc2ae90,裕幸計装株式会社,〒152-0001東京都目黒区中央町２丁目８番８号,1億円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/55cef82d-eb76-45ae-b48a-1cccc9952a8d,株式会社電陽社,〒930-0846富山県富山市奥井町１７番３８号,4000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/0b3334e2-ad5c-437a-b933-09523fdf1913,株式会社ＮＴＴデータ北陸,〒920-0031石川県金沢市広岡３丁目１番１号,1億円,50億〜300億円,未上場,情報あり
https://baseconnect.in/companies/b8bddf87-91a9-43b6-854e-c059d9ea9ce5,ｉＹｅｌｌ株式会社,〒153-0042東京都目黒区青葉台４丁目７番７号,85億8000万円,,未上場,情報あり
https://baseconnect.in/companies/7c95eef0-af44-4ae6-a2b3-b38402a229e6,株式会社Ｋ－ＢＩＴ,〒541-0054大阪府大阪市中央区南本町１丁目６番２０号,6000万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/4f9c9d13-2ee4-417a-b1ac-64dc5e2888e7,アクティスジャパン株式会社,〒460-0007愛知県名古屋市中区新栄１丁目７番７号,9500万円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/5bd9e3f2-0a1e-40c2-a800-a526c1176d14,岡谷システム株式会社,〒460-0008愛知県名古屋市中区栄２丁目４番１８号,4567万5000円,10億〜50億円,未上場,情報あり
https://baseconnect.in/companies/435fbec4-cae9-4446-a3ec-c83ce441eb5b,株式会社エブリー,〒106-0032東京都港区六本木３丁目２番１号,26億4600万円,,未上場,情報あり
